CD_MUN,NM_MUN,AREA,DENS
1100015,Alta Floresta D'Oeste (RO),7067.025,3.041591051
1100023,Ariquemes (RO),4426.571,21.87539746
1100031,Cabixi (RO),1314.352,4.080337687
1100049,Cacoal (RO),3792.892,22.90995894
1100056,Cerejeiras (RO),2783.300,5.709050408
1100064,Colorado do Oeste (RO),1451.060,10.79417805
1100072,Corumbiara (RO),3060.321,2.456931806
1100080,Costa Marques (RO),4987.177,2.531893294
1100098,Espigão D'Oeste (RO),4518.038,6.506585381
1100106,Guajará-Mirim (RO),24855.724,1.584584702
1100114,Jaru (RO),2944.128,17.18369582
1100122,Ji-Paraná (RO),6896.649,18.02803071
1100130,Machadinho D'Oeste (RO),8509.270,3.608652681
1100148,Nova Brasilândia D'Oeste (RO),1703.008,9.20665082
1100155,Ouro Preto do Oeste (RO),1969.850,17.79018707
1100189,Pimenta Bueno (RO),6240.940,5.60780908
1100205,Porto Velho (RO),34090.952,13.505431
1100254,Presidente Médici (RO),1758.465,10.99083576
1100262,Rio Crespo (RO),1717.640,2.020795976
1100288,Rolim de Moura (RO),1457.888,38.69021489
1100296,Santa Luzia D'Oeste (RO),1197.796,6.193876086
1100304,Vilhena (RO),11699.150,8.19136433
1100320,São Miguel do Guaporé (RO),7460.219,2.900048913
1100338,Nova Mamoré (RO),10071.643,2.526300823
1100346,Alvorada D'Oeste (RO),3029.189,4.330201912
1100379,Alto Alegre dos Parecis (RO),3958.273,2.900002097
1100403,Alto Paraíso (RO),2651.822,6.154259223
1100452,Buritis (RO),3265.809,8.571229977
1100502,Novo Horizonte do Oeste (RO),843.446,9.090089941
1100601,Cacaulândia (RO),1961.778,2.115427943
1100700,Campo Novo de Rondônia (RO),3442.005,2.569432642
1100809,Candeias do Jamari (RO),6843.868,3.249332103
1100908,Castanheiras (RO),892.841,3.621025468
1100924,Chupinguaia (RO),5126.723,1.818705633
1100940,Cujubim (RO),3863.946,3.846585848
1101005,Governador Jorge Teixeira (RO),5067.384,1.578921195
1101104,Itapuã do Oeste (RO),4081.580,2.092571994
1101203,Ministro Andreazza (RO),798.083,8.101914212
1101302,Mirante da Serra (RO),1191.875,7.748295752
1101401,Monte Negro (RO),1931.378,5.979150638
1101435,Nova União (RO),807.125,7.681585876
1101450,Parecis (RO),2548.683,1.618482958
1101468,Pimenteiras do Oeste (RO),6014.733,0.3584531516
1101476,Primavera de Rondônia (RO),605.692,5.075186729
1101484,São Felipe D'Oeste (RO),541.647,9.707429377
1101492,São Francisco do Guaporé (RO),10959.767,1.485980496
1101500,Seringueiras (RO),3773.505,2.960377686
1101559,Teixeirópolis (RO),459.978,9.252616429
1101609,Theobroma (RO),2197.413,3.69206881
1101708,Urupá (RO),831.857,12.89284096
1101757,Vale do Anari (RO),3135.106,2.484126534
1101807,Vale do Paraíso (RO),965.676,6.709289658
1200013,Acrelândia (AC),1807.953,7.755179476
1200054,Assis Brasil (AC),4974.174,1.628411069
1200104,Brasiléia (AC),3916.505,6.63857189
1200138,Bujari (AC),3034.869,4.25619689
1200179,Capixaba (AC),1701.973,6.105854793
1200203,Cruzeiro do Sul (AC),8779.407,10.46631054
