CD_MUN,nm_municipio,sg_uf,nm_regiao,qt_votos_validos,qt_votos_bolsonaro,qt_votos_lula
1100015,ALTA FLORESTA D'OESTE,RO,NORTE,13727,9768,3959
1100023,ARIQUEMES,RO,NORTE,50414,39901,10513
1100031,CABIXI,RO,NORTE,3511,2405,1106
1100049,CACOAL,RO,NORTE,50417,37980,12437
1100056,CEREJEIRAS,RO,NORTE,9844,7854,1990
1100064,COLORADO DO OESTE,RO,NORTE,9859,7253,2606
1100072,CORUMBIARA,RO,NORTE,4207,2683,1524
1100080,COSTA MARQUES,RO,NORTE,6645,4220,2425
1100098,ESPIGÃO D'OESTE,RO,NORTE,17807,13595,4212
1100106,GUAJARÁ-MIRIM,RO,NORTE,19839,13001,6838
1100114,JARU,RO,NORTE,29424,22611,6813
1100122,JI-PARANÁ,RO,NORTE,68126,51415,16711
1100130,MACHADINHO D'OESTE,RO,NORTE,16240,11490,4750
1100148,NOVA BRASILÂNDIA D'OESTE,RO,NORTE,10311,7457,2854
1100155,OURO PRETO DO OESTE,RO,NORTE,20503,14631,5872
1100189,PIMENTA BUENO,RO,NORTE,19859,14932,4927
1100205,PORTO VELHO,RO,NORTE,261935,169299,92636
1100254,PRESIDENTE MÉDICI,RO,NORTE,11261,8252,3009
1100262,RIO CRESPO,RO,NORTE,2342,1752,590
1100288,ROLIM DE MOURA,RO,NORTE,29537,21868,7669
1100296,SANTA LUZIA D'OESTE,RO,NORTE,4836,3184,1652
1100304,VILHENA,RO,NORTE,48712,37718,10994
1100320,SÃO MIGUEL DO GUAPORÉ,RO,NORTE,12562,8564,3998
1100338,NOVA MAMORÉ,RO,NORTE,13123,10226,2897
1100346,ALVORADA D'OESTE,RO,NORTE,8239,5306,2933
1100379,ALTO ALEGRE DOS PARECIS,RO,NORTE,6226,4237,1989
1100403,ALTO PARAÍSO,RO,NORTE,8405,6410,1995
1100452,BURITIS,RO,NORTE,15739,12479,3260
1100502,NOVO HORIZONTE DO OESTE,RO,NORTE,5271,3422,1849
1100601,CACAULÂNDIA,RO,NORTE,2902,2210,692
1100700,CAMPO NOVO DE RONDÔNIA,RO,NORTE,5403,3904,1499
1100809,CANDEIAS DO JAMARI,RO,NORTE,12988,8101,4887
1100908,CASTANHEIRAS,RO,NORTE,2218,1356,862
1100924,CHUPINGUAIA,RO,NORTE,4938,3352,1586
1100940,CUJUBIM,RO,NORTE,7547,5818,1729
1101005,GOVERNADOR JORGE TEIXEIRA,RO,NORTE,5165,3625,1540
1101104,ITAPUÃ DO OESTE,RO,NORTE,4378,2736,1642
1101203,MINISTRO ANDREAZZA,RO,NORTE,4542,2973,1569
1101302,MIRANTE DA SERRA,RO,NORTE,6339,3986,2353
1101401,MONTE NEGRO,RO,NORTE,7071,5308,1763
1101435,NOVA UNIÃO,RO,NORTE,4039,2285,1754
1101450,PARECIS,RO,NORTE,2309,1405,904
1101468,PIMENTEIRAS DO OESTE,RO,NORTE,1438,943,495
1101476,PRIMAVERA DE RONDÔNIA,RO,NORTE,2189,1630,559
1101484,SÃO FELIPE D'OESTE,RO,NORTE,3368,2293,1075
1101492,SÃO FRANCISCO DO GUAPORÉ,RO,NORTE,9104,6530,2574
1101500,SERINGUEIRAS,RO,NORTE,7191,4723,2468
1101559,TEIXEIRÓPOLIS,RO,NORTE,2988,1888,1100
1101609,THEOBROMA,RO,NORTE,5600,3816,1784
1101708,URUPÁ,RO,NORTE,6624,4402,2222
1101757,VALE DO ANARI,RO,NORTE,4543,3231,1312
1101807,VALE DO PARAÍSO,RO,NORTE,4335,2808,1527
1200013,ACRELÂNDIA,AC,NORTE,6777,5317,1460
1200054,ASSIS BRASIL,AC,NORTE,4612,2717,1895
1200104,BRASILÉIA,AC,NORTE,13551,9593,3958
1200138,BUJARI,AC,NORTE,6651,4693,1958
1200179,CAPIXABA,AC,NORTE,5460,3963,1497
1200203,CRUZEIRO DO SUL,AC,NORTE,41669,31936,9733
1200252,EPITACIOLÂNDIA,AC,NORTE,9193,6729,2464
1200302,FEIJÓ,AC,NORTE,13496,6383,7113
1200328,JORDÃO,AC,NORTE,3413,1433,1980
1200336,MÂNCIO LIMA,AC,NORTE,9039,6331,2708
1200344,MANOEL URBANO,AC,NORTE,4936,2889,2047
1200351,MARECHAL THAUMATURGO,AC,NORTE,6452,3710,2742
1200385,PLÁCIDO DE CASTRO,AC,NORTE,8482,6176,2306
1200393,PORTO WALTER,AC,NORTE,3959,1866,2093
1200401,RIO BRANCO,AC,NORTE,195963,142090,53873
1200427,RODRIGUES ALVES,AC,NORTE,7466,6011,1455
1200435,SANTA ROSA DO PURUS,AC,NORTE,2344,1127,1217
1200450,SENADOR GUIOMARD,AC,NORTE,12850,9512,3338
